Employee Number,Employee Name,State,DOB,Sex,Department,Position,Manager Name
1102024149,"Spirea, Kelley",CA,30/09/1975,Female,Admin Offices,Administrative II,Elijiah Gray
1001109612,"Darson, Jene'ya ",CA,11/05/1978,Female,Admin Offices,Administrative II,Elijiah Gray
1000974650,"Stanley, David ",TX,17/12/1970,Male,Admin Offices,Manager,Debra Houlihan
1206043417,"Quinn, Sean",MA,11/06/1964,Male,Admin Offices,Manager,Janet King
1307060188,"Boutwell, Bonalyn",CA,04/04/1967,Female,Admin Offices,Manager,Elijiah Gray
1011022932,"Hendrickson, Trina",CA,27/08/1972,Female,Admin Offices,Administrative II,Elijiah Gray
1101023619,"Wallace, Theresa",CA,08/02/1980,Female,Admin Offices,Administrative II,Elijiah Gray
1107027575,"LeBel, Jonathan  R",CA,18/10/1981,Male,Admin Offices,Administrative II,Elijiah Gray
1102024115,"LeBlanc, Brandon  R",MA,06/10/1964,Male,Admin Offices,Manager,Janet King
1105026041,"Gaul, Barbara",CA,12/02/1963,Female,Admin Offices,Administrative II,Elijiah Gray
1102024121,"Motlagh,  Dawn",CA,07/07/1984,Female,Admin Offices,Administrative II,Elijiah Gray
1302053333,"Steans, Tyrone  ",CA,09/01/1966,Male,Admin Offices,Administrative II,Elijiah Gray
1302053362,"Sander, Kamrin",CA,07/10/1988,Female,Admin Offices,Administrative I,Elijiah Gray
1405067565,"Linden, Mathew",CA,19/03/1979,Male,Admin Offices,Administrative I,Elijiah Gray
1106026579,"Gordon, David",TX,21/05/1979,Male,Admin Offices,Administrative II,David Stanley
1107027450,"Jung, Judy  ",CA,17/04/1986,Female,Admin Offices,Administrative I,Elijiah Gray
1408069481,"Dietrich, Jenna  ",CA,14/05/1987,Female,Admin Offices,Administrative I,Elijiah Gray
1011022818,"Walker, Roger",CA,02/10/1976,Male,Admin Offices,Administrative I,Elijiah Gray
1201031308,"Foster-Baker, Amy",TX,16/04/1969,Female,Admin Offices,Manager,David Stanley
1001944783,"Hogland, Jonathan ",MA,07/01/1972,Male,Admin Offices,Administrative II,Brandon R. LeBlanc
1405067298,"Sullivan, Kissy ",MA,28/03/1978,Female,Admin Offices,Administrative II,Brandon R. LeBlanc
1103024456,"Brown, Mia",MA,24/11/1985,Female,Admin Offices,Administrative II,Brandon R. LeBlanc
1307059817,"Singh, Nan ",MA,19/05/1988,Female,Admin Offices,Administrative I,Brandon R. LeBlanc
1111030684,"Nguyen, Dheepa",MA,31/03/1989,Female,Admin Offices,Administrative I,Brandon R. LeBlanc
1409070147,"Dunn, Amy  ",TX,28/11/1973,Female,Admin Offices,Manager,Debra Houlihan
1499902991,"Robertson, Peter",MA,07/03/1972,Male,Admin Offices,Administrative I,Brandon R. LeBlanc
812011761,"Ozark, Travis",MA,19/05/1982,Male,Admin Offices,Administrative I,Brandon R. LeBlanc
1101023457,"Buccheri, Joseph  ",MA,28/07/1963,Male,Admin Offices,Administrative I,Brandon R. LeBlanc
711007713,"Smith, Leigh Ann",MA,14/06/1967,Female,Admin Offices,Administrative I,Brandon R. LeBlanc
1304055947,"Anderson, Linda  ",TX,22/05/1977,Female,Admin Offices,Administrative II,David Stanley
1106026572,"LaRotonda, William  ",TX,26/04/1964,Male,Admin Offices,Administrative II,David Stanley
1209049326,"McKinzie, Jac",TX,07/01/1964,Male,Admin Offices,Administrative I,David Stanley
1412071660,"Leruth, Giovanni",TX,27/12/1988,Male,Admin Offices,Administrative I,David Stanley
1312063714,"Valentin,Jackie",TX,23/05/1991,Female,Admin Offices,Administrative I,David Stanley
1211050782,"Howard, Estelle",TX,16/09/1965,Female,Admin Offices,Administrative I,David Stanley
1001495124,"King, Janet",MA,21/09/1954,Female,Executive Office,Director,Board of Directors
1112030816,"Zamora, Jennifer",CA,30/08/1949,Female,Executive Office,Director,Board of Directors
1403065721,"Carter, Michelle ",CA,15/05/1963,Female,Executive Office,Director,Board of Directors
1209048771,"Martins, Joseph",TX,06/11/1950,Male,Executive Office,Director,Board of Directors
1009021646,"Houlihan, Debra",TX,17/03/1956,Female,Executive Office,Director,Board of Directors
1499902910,"Smith, John",MA,16/08/1964,Male,Executive Office,Director,Board of Directors
1306059197,"Digitale, Alfred",CA,14/09/1968,Male,Executive Office,Director,Board of Directors
1192991000,"Foss, Jason",CA,07/05/1950,Male,Information Technlogy,Director,Jennifer Zamora
1101023754,"Dougall, Eric",CA,07/09/1960,Male,Information Technlogy,Manager,Jennifer Zamora
